42,Red apples,,,http://bimel.ru/content/vm/catalog/apples.png,true
43,Yellow apples,,,http://bimel.ru/content/vm/catalog/yellowapple.jpg,true
45,Blackberry,,,http://bimel.ru/content/vm/catalog/blackcherry.jpg,true
46,Cabbage,,,http://bimel.ru/content/vm/catalog/cabbage.jpg,true
47,Cherry,,,http://bimel.ru/content/vm/catalog/cheery.jpg,true
48,Corn,,,http://bimel.ru/content/vm/catalog/corn.jpg,true
49,Cranberry,,,http://bimel.ru/content/vm/catalog/crabnerry.jpg,true
50,Cucumber,,,http://bimel.ru/content/vm/catalog/cucumber.jpg,true
51,Eggplant,,,http://bimel.ru/content/vm/catalog/eggplant.jpg,true
52,Fig,,,http://bimel.ru/content/vm/catalog/fig.jpg,true
53,Grapes,,,http://bimel.ru/content/vm/catalog/grapes.jpg,true
54,Green beans,,,http://bimel.ru/content/vm/catalog/greenbeans.jpg,true
55,Lemon,,,http://bimel.ru/content/vm/catalog/lemon.jpg,true
56,Orange,,,http://bimel.ru/content/vm/catalog/orange.jpg,true
57,Peach,,,http://bimel.ru/content/vm/catalog/peach.jpg,true
58,Pepper,,,http://bimel.ru/content/vm/catalog/pepper.png,true
59,Potatoes,,,http://bimel.ru/content/vm/catalog/potatoes.jpg,true
60,Pumpkin,,,http://bimel.ru/content/vm/catalog/pumpkin.jpg,true
61,Quince,,,http://bimel.ru/content/vm/catalog/quince.jpg,true
62,Strawberry,,,http://bimel.ru/content/vm/catalog/strawberry.png,true
